Phase,Task,Duration,Cost_Range_INR
Phase 1: Planning & Research,Domain Selection & Hosting Setup,1-2 days,"₹3,000 - ₹5,000"
Phase 1: Planning & Research,Competitor Analysis & Research,2-3 days,"Free - ₹2,000"
Phase 1: Planning & Research,Content Planning & Keyword Research,1-2 days,"Free - ₹1,000"
Phase 2: Design & Content,Logo & Brand Design,3-5 days,"₹5,000 - ₹15,000"
Phase 2: Design & Content,Photography & Portfolio Collection,2-3 days,"₹3,000 - ₹8,000"
Phase 2: Design & Content,Page Content Writing,3-4 days,"₹5,000 - ₹10,000"
Phase 2: Design & Content,Wireframe & Layout Design,2-3 days,"₹3,000 - ₹8,000"
Phase 3: Development,WordPress Installation & Theme Setup,1 day,"Free - ₹2,000"
Phase 3: Development,Page Development with Elementor,5-7 days,"₹10,000 - ₹25,000"
Phase 3: Development,Contact Forms & Booking System,2-3 days,"₹5,000 - ₹10,000"
Phase 4: Launch & Marketing,SEO Setup & Google My Business,2-3 days,"₹3,000 - ₹8,000"
Phase 4: Launch & Marketing,Social Media Integration,1 day,"Free - ₹2,000"
Phase 4: Launch & Marketing,Website Testing & Launch,2-3 days,"₹2,000 - ₹5,000"
